label	id
negative	1089889690314956801
neutral	1139859146143076352
positive	1230398391751974912
neutral	1183039711193026560
negative	1222618809162444800
neutral	1163887022504906752
positive	1228265931354275840
negative	1179631197405642753
negative	1128615072966725634
neutral	1229463747992989696
neutral	1229662284064096256
neutral	1125577993995182081
positive	1224257729478266880
neutral	1227950258954608642
positive	1229195006130434049
neutral	1185829640256012288
neutral	1227688754065788928
neutral	1162747035210211329
neutral	1223122377061490694
neutral	1222938950949535744
positive	1223125803048882176
positive	1091181056915431424
negative	1231992435527634946
negative	1221610319321149440
positive	1225482369618018304
neutral	1093573105912610816
negative	1152762580152307713
negative	1229417849422258176
positive	1230000684629549058
neutral	1148593503427059717
neutral	1227740989038698503
positive	1230054662612701184
positive	1232081181899993089
neutral	1224092313733009408
neutral	1208742801187442688
neutral	1231048100409696258
neutral	1177631604186996737
negative	1230843879328366592
neutral	1158177135317532672
neutral	1187830374245777408
neutral	1223444945480167424
neutral	1161100636995407872
neutral	1170568049130463237
neutral	1156421991131336704
negative	1233014485360816130
negative	1223301478028320770
negative	1224370451176050691
neutral	1103502298280546304
negative	1222556759954350081
neutral	1102595200227119105
neutral	1148649883089420294
neutral	1137973970618109952
negative	1225863452192694273
positive	1230547926608379906
neutral	1229825863711100931
neutral	1102659696392048647
negative	1144414336607064064
negative	1231033533465907200
positive	1222630557848416257
neutral	1221644884316045312
neutral	1222325588872105986
negative	1223341606142607360
negative	1221934271952293890
neutral	1225553250151170053
positive	1228114903883321344
negative	1120818227003703296
negative	1221540799344795648
negative	1222207841458688000
positive	1221920075751591937
neutral	1092310766437335040
neutral	1226131667510865920
positive	1206224582874664961
neutral	1144796882302115846
negative	1221921813753548801
neutral	1136887847162699776
neutral	1222926790399688704
positive	1231850398631092225
positive	1223251910586560513
neutral	1089700408514105346
negative	1223314894696648707
neutral	1166653077815873537
neutral	1223848542789177344
negative	1202816508881096705
neutral	1147843633397284864
neutral	1205276145475821570
neutral	1169287637015957504
positive	1221612566864113664
neutral	1223705979558088705
negative	1222872712944717825
negative	1130696844907036672
neutral	1228232911574401024
negative	1196569701528350725
neutral	1223318605632241664
neutral	1229462914777657351
positive	1104253862624546816
neutral	1128864398947127296
negative	1144219125117530113
negative	1225616528923475969
neutral	1153570900928860160
neutral	1125252763963641857
positive	1158820411984924672
positive	1229557137501806597
positive	1221758385634172929
positive	1222181065592193025
negative	1222234846011043840
neutral	1124665745512849409
positive	1223275028969664512
positive	1132436792555311104
positive	1224114681029197826
neutral	1222732680384729089
negative	1139959977429405697
neutral	1105144783004160004
neutral	1156323193977757697
neutral	1230296318473646082
neutral	1229859801292775426
negative	1230775731250237440
neutral	1221366952842711040
negative	1124694597970661376
negative	1223673276569878534
negative	1220821604306948096
positive	1230640247370846209
neutral	1128451815815696389
negative	1207357450879418369
negative	1203292726629949441
neutral	1221609518200524800
neutral	1227417612432420864
negative	1221425490356920320
neutral	1227736683409481728
negative	1226024152366231553
negative	1221608189986328576
neutral	1124439429219737600
positive	1228123724131389440
neutral	1211867733635108865
positive	1229215057524989953
negative	1231669255331962880
positive	1228189618887020545
neutral	1223252398854082560
negative	1221931519733878784
neutral	1090761600833912832
neutral	1232477385733197824
neutral	1223526870987067392
negative	1226903811542810625
positive	1228236903893233664
neutral	1223098547224006656
negative	1222544411160010752
neutral	1125168512639459328
negative	1221931250472095746
positive	1224244940114481152
positive	1231366253647933440
positive	1174444541987950593
neutral	1224085432784130048
positive	1230310541563957248
positive	1221933605620015104
neutral	1226630079930871813
neutral	1177166180190248960
negative	1223252995263148034
positive	1227238786679148544
neutral	1135849421617455104
negative	1198533518348828672
positive	1225878533949378561
negative	1223645182056456192
neutral	1232324692792553473
neutral	1169003459498168330
negative	1223095797832503298
positive	1224362651846938625
neutral	1221954691233394689
positive	1225928453435875328
positive	1105110383227035654
neutral	1222533895708729344
negative	1200177792912105472
positive	1150411314155663360
neutral	1159061320328712193
positive	1226565865031847936
negative	1232342036537368576
neutral	1223615182846427137
negative	1154802314781372416
neutral	1178962947823079424
negative	1231971477978832898
neutral	1092426277842284544
negative	1224695858039574528
neutral	1223173613160812546
neutral	1229447608684498956
negative	1224823547404701698
neutral	1221935795541610496
negative	1226957082064191490
negative	1224114648917643264
positive	1132026545114161152
negative	1196495717302505473
positive	1223263724703748097
negative	1223313030135668736
neutral	1224942203446804480
positive	1102983802450780161
positive	1229404359756111877
neutral	1223756253622489089
negative	1221933893068230656
positive	1160002144709304322
neutral	1196448226221723649
neutral	1169242821343272961
neutral	1229683083244265472
neutral	1223623234777702400
neutral	1093613635245613057
positive	1135337434785439749
negative	1221495166063849473
negative	1222552960489742336
neutral	1186995007380709376
positive	1205924135718785024
negative	1223253167422480386
neutral	1090997651317948416
negative	1227559448681570304
neutral	1110269317105369088
neutral	1138948445870415878
neutral	1230723765878673408
neutral	1136843357487898626
neutral	1149191908654231553
negative	1226874946057428993
positive	1230326735297810433
negative	1226480537654743041
neutral	1146905199270866948
neutral	1226651205423599616
negative	1176536543583801345
positive	1105306606575607809
neutral	1185629019158597632
neutral	1124677862760636418
neutral	1193680555289858049
positive	1221799727680905222
negative	1229770915904446464
neutral	1204273111039803392
neutral	1221928705817284613
negative	1223116421829255172
negative	1221132695935377409
neutral	1101562657855938562
positive	1228306269972434944
neutral	1186385063606251520
neutral	1102330858202152961
negative	1158863810540658688
positive	1223316876891168768
neutral	1222259565703696384
negative	1206923693454188544
neutral	1227053726109593600
negative	1175401795226492929
neutral	1140695431619514369
negative	1223641960830861314
positive	1226478864471224322
negative	1223251185731297282
positive	1224094508624703488
neutral	1226838742025015296
positive	1228030853705498624
neutral	1205789700503396354
neutral	1223253932950147072
positive	1222173337314611201
neutral	1198255710875869185
negative	1225537188030504962
neutral	1201090499379118081
neutral	1128064660144558088
negative	1159855773998034946
negative	1226168388038336513
negative	1151455558328836098
negative	1229544042125516801
neutral	1223556933766041600
neutral	1166362659685654531
neutral	1231706039667613696
positive	1231148689843986432
positive	1232083971376173056
positive	1228502543468126209
neutral	1221948743429361667
positive	1221539251445272576
neutral	1230523976490766336
positive	1190709545678647297
positive	1232510120157822976
positive	1224748415633981441
positive	1230495067506274304
neutral	1154668495579299840
negative	1230226726254497792
neutral	1223734206725083138
positive	1198649119780331520
positive	1221944608713854978
neutral	1199113341131603969
neutral	1154848481275760645
neutral	1145638133423321090
negative	1225189815823454209
negative	1092982673105186817
positive	1231608156616302595
negative	1221109270537699328
neutral	1222202220806049793
neutral	1221952484387614720
neutral	1224066504599228417
neutral	1103747900679561224
positive	1226612049255464964
positive	1222173337314611201
neutral	1135386453481889794
neutral	1166146638735450112
negative	1228314849219874818
neutral	1230714626561605635
positive	1228391289068146689
positive	1229775073868840961
negative	1223620077796225024
neutral	1190415575056633856
positive	1223551073153101824
negative	1201693924928184320
negative	1171212915052990465
negative	1223598555929161728
negative	1224285752223244298
neutral	1133221160731066369
positive	1224135398831427584
negative	1164940392212684802
negative	1222013194748813313
negative	1229767523941306370
positive	1144582326124457984
negative	1222500731019759617
neutral	1166455089944416261
neutral	1228429532954103808
neutral	1221605708224843777
neutral	1103020577080565761
negative	1124300911533350912
positive	1230216379002970112
positive	1228205479454658560
neutral	1093324559309262849
neutral	1134834169102700544
neutral	1156342937413832705
positive	1231555726964740096
negative	1222682055663849473
negative	1220821604306948096
negative	1228158708376637440
positive	1226511831801483264
negative	1161770542682255360
neutral	1222859677735714816
neutral	1204293844545589249
negative	1221539166019825667
neutral	1175670776705486848
neutral	1229564229759488012
neutral	1188468826519662592
neutral	1175503684207296513
neutral	1089932121777557504
neutral	1223199233546711040
negative	1221120904882683905
negative	1202094099081379842
neutral	1118937299427954690
neutral	1221157840079020034
negative	1174116603094372354
positive	1228431832305348608
neutral	1229226050514587648
neutral	1224050346898538497
neutral	1103923929968594945
positive	1223955329819533313
negative	1222648762864230412
positive	1226671158004715526
negative	1208987349725650946
neutral	1130559707259785216
neutral	1228762100966854658
negative	1221940875514863617
neutral	1135199519862190082
negative	1089763971006107648
negative	1090793086849040384
neutral	1139918780316966912
positive	1090389634109132800
positive	1222558263075655680
negative	1230177762373185538
neutral	1110301034398638080
neutral	1131470315748495360
negative	1231748793923776513
positive	1223767033248014336
neutral	1223606929995550720
negative	1224078439994531840
negative	1197352555774382081
negative	1223236894374289409
neutral	1103446136067629059
neutral	1221614693590142978
neutral	1229696345713278976
negative	1209620349580693505
negative	1223994802888495105
negative	1205190686536015872
positive	1153711662773493762
neutral	1140458919149625344
negative	1225718644610674689
negative	1229691617235345409
negative	1221947114407825408
neutral	1100743394819756033
negative	1224082446985068545
neutral	1111676153260056577
positive	1221926029566136321
neutral	1153617180761739264
neutral	1223247869588586496
neutral	1173673381792768000
neutral	1192264453758177280
neutral	1228359607086653440
positive	1229423171180408832
negative	1227976627105206272
neutral	1125278704861683713
neutral	1226253762681036800
positive	1109112652373078017
neutral	1090963161942032385
negative	1221206944939200514
negative	1118178482784296960
positive	1120815033636794368
negative	1222293280198520832
negative	1224139263073275904
neutral	1101223632360083456
positive	1229863433421676544
neutral	1157199606477803522
negative	1220395896086638592
positive	1223397756867436546
positive	1144613433935106049
positive	1101915918249017344
negative	1232075828470501376
neutral	1222732680384729089
negative	1231780462550552578
neutral	1129224442851352576
negative	1225082184471601153
positive	1224113974117048320
negative	1228274408550256640
positive	1224142913300508674
negative	1222550226126413824
neutral	1157495183778426881
neutral	1227973055101554689
negative	1222702160355282944
neutral	1223755169671729152
negative	1227712354412003328
neutral	1174459361067847680
neutral	1227053190127874048
negative	1224292370835025921
neutral	1103246102306840576
neutral	1092052311579521024
negative	1229295698488651776
neutral	1229073371192856576
neutral	1172548049781968896
negative	1231110520700309505
neutral	1156416773597646848
negative	1221936307074752513
neutral	1224116497519431680
neutral	1230800710909878272
positive	1178082635479965697
negative	1229456997508091906
negative	1225221832745242625
negative	1229581034523680768
negative	1207511046371598336
negative	1223626331637731329
negative	1205510677051383809
negative	1132292454273703941
negative	1135700074472890370
neutral	1171181638488711168
neutral	1189980629821272068
positive	1229404380505481217
neutral	1228208461407649793
neutral	1225902583589433344
neutral	1089934482101002240
neutral	1103805698335563776
positive	1228461068608921600
negative	1223337469057388546
positive	1229398748796784640
positive	1224015942293905412
negative	1232064321636753408
neutral	1221944477968891904
neutral	1174753415114551296
neutral	1202701044431540225
neutral	1127753902504534017
neutral	1132678690482008064
negative	1220893378470195200
neutral	1232368067054899205
negative	1231056026230591489
negative	1231171104946950146
neutral	1227644133612883971
positive	1229440298641711105
negative	1228500431141298177
neutral	1224119423146975232
neutral	1203586939728748544
